Temperature (K)	Pressure (MPa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, kJ/kg)"	"Enthalpy (l, kJ/kg)"	"Entropy (l, J/g*K)"	"Volume (v, m3/kg)"	"Internal Energy (v, kJ/kg)"	"Enthalpy (v, kJ/kg)"	"Entropy (v, J/g*K)"	"Cv (v, J/g*K)"	"Cp (v, J/g*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/MPa)"	"Viscosity (v, uPa*s)"	"Therm. Cond. (v, W/m*K)"
273.16	0.00061165	999.79	0.0010002	6.14E-11	0.00061178	1.91E-13	205.99	2374.9	2500.9	9.1555	1.4184	1.8844	409	592.65	9.2163	0.017071
283.16	0.001229	999.65	0.0010003	42.062	42.063	0.15123	106.24	2388.7	2519.2	8.8995	1.4269	1.8947	416.17	432.59	9.4614	0.017622
293.16	0.0023408	998.16	0.0010018	83.954	83.956	0.29663	57.723	2402.3	2537.5	8.6658	1.4359	1.9059	423.19	320.54	9.7275	0.018228
303.16	0.0042494	995.6	0.0010044	125.77	125.78	0.43689	32.86	2415.9	2555.6	8.4518	1.4453	1.918	430.04	242.78	10.011	0.018887
313.16	0.0073889	992.17	0.0010079	167.57	167.57	0.57254	19.505	2429.4	2573.5	8.2554	1.4553	1.9314	436.72	188.69	10.308	0.019599
323.16	0.012358	987.99	0.0010122	209.37	209.38	0.70394	12.021	2442.7	2591.3	8.0747	1.4663	1.9468	443.22	150.58	10.617	0.020365
333.16	0.019956	983.16	0.0010171	251.2	251.22	0.83142	7.6639	2455.9	2608.9	7.908	1.479	1.9648	449.51	123.19	10.935	0.021188
343.16	0.031214	977.73	0.0010228	293.08	293.11	0.95525	5.0375	2468.9	2626.1	7.7539	1.4937	1.9862	455.58	103.02	11.261	0.022069
353.16	0.047434	971.76	0.0010291	335.01	335.05	1.0757	3.4039	2481.6	2643	7.6109	1.5111	2.012	461.39	87.799	11.593	0.023012
363.16	0.070208	965.29	0.001036	377.01	377.08	1.193	2.3582	2494	2659.5	7.478	1.5316	2.043	466.94	76.024	11.929	0.02402
373.16	0.10145	958.34	0.0010435	419.1	419.21	1.3073	1.6712	2506	2675.6	7.354	1.5559	2.0801	472.2	66.699	12.27	0.025097
383.16	0.14343	950.94	0.0010516	461.31	461.46	1.4189	1.2089	2517.7	2691.1	7.238	1.5844	2.1244	477.14	59.146	12.612	0.026246
393.16	0.19874	943.1	0.0010603	503.64	503.85	1.528	0.89095	2528.9	2705.9	7.129	1.6177	2.177	481.74	52.89	12.956	0.027468
